Node Name,Output Tensor Name,Output Tensor Size
1109_DequantizeLinear,1109_dequantized,"(256,)"
1111_DequantizeLinear,1111_dequantized,"(256, 256, 3, 3)"
1112_DequantizeLinear,1112_dequantized,"(256,)"
1114_DequantizeLinear,1114_dequantized,"(1024, 256, 1, 1)"
1115_DequantizeLinear,1115_dequantized,"(1024,)"
1117_DequantizeLinear,1117_dequantized,"(256, 1024, 1, 1)"
1118_DequantizeLinear,1118_dequantized,"(256,)"
1120_DequantizeLinear,1120_dequantized,"(256, 256, 3, 3)"
1121_DequantizeLinear,1121_dequantized,"(256,)"
1123_DequantizeLinear,1123_dequantized,"(1024, 256, 1, 1)"
1124_DequantizeLinear,1124_dequantized,"(1024,)"
1126_DequantizeLinear,1126_dequantized,"(256, 1024, 1, 1)"
1127_DequantizeLinear,1127_dequantized,"(256,)"
1129_DequantizeLinear,1129_dequantized,"(256, 256, 3, 3)"
1130_DequantizeLinear,1130_dequantized,"(256,)"
1132_DequantizeLinear,1132_dequantized,"(1024, 256, 1, 1)"
1133_DequantizeLinear,1133_dequantized,"(1024,)"
1135_DequantizeLinear,1135_dequantized,"(256, 1024, 1, 1)"
1136_DequantizeLinear,1136_dequantized,"(256,)"
1138_DequantizeLinear,1138_dequantized,"(256, 256, 3, 3)"
1139_DequantizeLinear,1139_dequantized,"(256,)"
1141_DequantizeLinear,1141_dequantized,"(1024, 256, 1, 1)"
1142_DequantizeLinear,1142_dequantized,"(1024,)"
1144_DequantizeLinear,1144_dequantized,"(256, 1024, 1, 1)"
1145_DequantizeLinear,1145_dequantized,"(256,)"
1147_DequantizeLinear,1147_dequantized,"(256, 256, 3, 3)"
1148_DequantizeLinear,1148_dequantized,"(256,)"
1150_DequantizeLinear,1150_dequantized,"(1024, 256, 1, 1)"
1151_DequantizeLinear,1151_dequantized,"(1024,)"
1153_DequantizeLinear,1153_dequantized,"(256, 1024, 1, 1)"
1154_DequantizeLinear,1154_dequantized,"(256,)"
1156_DequantizeLinear,1156_dequantized,"(256, 256, 3, 3)"
1157_DequantizeLinear,1157_dequantized,"(256,)"
1159_DequantizeLinear,1159_dequantized,"(1024, 256, 1, 1)"
1160_DequantizeLinear,1160_dequantized,"(1024,)"
1162_DequantizeLinear,1162_dequantized,"(256, 1024, 1, 1)"
1163_DequantizeLinear,1163_dequantized,"(256,)"
1165_DequantizeLinear,1165_dequantized,"(256, 256, 3, 3)"
1166_DequantizeLinear,1166_dequantized,"(256,)"
1168_DequantizeLinear,1168_dequantized,"(1024, 256, 1, 1)"
1169_DequantizeLinear,1169_dequantized,"(1024,)"
1171_DequantizeLinear,1171_dequantized,"(256, 1024, 1, 1)"
1172_DequantizeLinear,1172_dequantized,"(256,)"
1174_DequantizeLinear,1174_dequantized,"(256, 256, 3, 3)"
1175_DequantizeLinear,1175_dequantized,"(256,)"
1177_DequantizeLinear,1177_dequantized,"(1024, 256, 1, 1)"
1178_DequantizeLinear,1178_dequantized,"(1024,)"
1180_DequantizeLinear,1180_dequantized,"(256, 1024, 1, 1)"
1181_DequantizeLinear,1181_dequantized,"(256,)"
1183_DequantizeLinear,1183_dequantized,"(256, 256, 3, 3)"
1184_DequantizeLinear,1184_dequantized,"(256,)"
1186_DequantizeLinear,1186_dequantized,"(1024, 256, 1, 1)"
1187_DequantizeLinear,1187_dequantized,"(1024,)"
1189_DequantizeLinear,1189_dequantized,"(256, 1024, 1, 1)"
1190_DequantizeLinear,1190_dequantized,"(256,)"
1192_DequantizeLinear,1192_dequantized,"(256, 256, 3, 3)"
1193_DequantizeLinear,1193_dequantized,"(256,)"
1195_DequantizeLinear,1195_dequantized,"(1024, 256, 1, 1)"
1196_DequantizeLinear,1196_dequantized,"(1024,)"
1198_DequantizeLinear,1198_dequantized,"(256, 1024, 1, 1)"
1199_DequantizeLinear,1199_dequantized,"(256,)"
1201_DequantizeLinear,1201_dequantized,"(256, 256, 3, 3)"
1202_DequantizeLinear,1202_dequantized,"(256,)"
1204_DequantizeLinear,1204_dequantized,"(1024, 256, 1, 1)"
1205_DequantizeLinear,1205_dequantized,"(1024,)"
1207_DequantizeLinear,1207_dequantized,"(256, 1024, 1, 1)"
1208_DequantizeLinear,1208_dequantized,"(256,)"
1210_DequantizeLinear,1210_dequantized,"(256, 256, 3, 3)"
1211_DequantizeLinear,1211_dequantized,"(256,)"
1213_DequantizeLinear,1213_dequantized,"(1024, 256, 1, 1)"
1214_DequantizeLinear,1214_dequantized,"(1024,)"
1216_DequantizeLinear,1216_dequantized,"(256, 1024, 1, 1)"
1217_DequantizeLinear,1217_dequantized,"(256,)"
1219_DequantizeLinear,1219_dequantized,"(256, 256, 3, 3)"
1220_DequantizeLinear,1220_dequantized,"(256,)"
1222_DequantizeLinear,1222_dequantized,"(1024, 256, 1, 1)"
1223_DequantizeLinear,1223_dequantized,"(1024,)"
1225_DequantizeLinear,1225_dequantized,"(256, 1024, 1, 1)"
1226_DequantizeLinear,1226_dequantized,"(256,)"
1228_DequantizeLinear,1228_dequantized,"(256, 256, 3, 3)"
1229_DequantizeLinear,1229_dequantized,"(256,)"
1231_DequantizeLinear,1231_dequantized,"(1024, 256, 1, 1)"
1232_DequantizeLinear,1232_dequantized,"(1024,)"
1234_DequantizeLinear,1234_dequantized,"(256, 1024, 1, 1)"
1235_DequantizeLinear,1235_dequantized,"(256,)"
1237_DequantizeLinear,1237_dequantized,"(256, 256, 3, 3)"
1238_DequantizeLinear,1238_dequantized,"(256,)"
1240_DequantizeLinear,1240_dequantized,"(1024, 256, 1, 1)"
1241_DequantizeLinear,1241_dequantized,"(1024,)"
1243_DequantizeLinear,1243_dequantized,"(256, 1024, 1, 1)"
1244_DequantizeLinear,1244_dequantized,"(256,)"
1246_DequantizeLinear,1246_dequantized,"(256, 256, 3, 3)"
1247_DequantizeLinear,1247_dequantized,"(256,)"
1249_DequantizeLinear,1249_dequantized,"(1024, 256, 1, 1)"
1250_DequantizeLinear,1250_dequantized,"(1024,)"
1252_DequantizeLinear,1252_dequantized,"(256, 1024, 1, 1)"
1253_DequantizeLinear,1253_dequantized,"(256,)"
1255_DequantizeLinear,1255_dequantized,"(256, 256, 3, 3)"
1256_DequantizeLinear,1256_dequantized,"(256,)"
1258_DequantizeLinear,1258_dequantized,"(1024, 256, 1, 1)"
1259_DequantizeLinear,1259_dequantized,"(1024,)"
1261_DequantizeLinear,1261_dequantized,"(256, 1024, 1, 1)"
1262_DequantizeLinear,1262_dequantized,"(256,)"
1264_DequantizeLinear,1264_dequantized,"(256, 256, 3, 3)"
1265_DequantizeLinear,1265_dequantized,"(256,)"
1267_DequantizeLinear,1267_dequantized,"(1024, 256, 1, 1)"
1268_DequantizeLinear,1268_dequantized,"(1024,)"
1270_DequantizeLinear,1270_dequantized,"(256, 1024, 1, 1)"
1271_DequantizeLinear,1271_dequantized,"(256,)"
1273_DequantizeLinear,1273_dequantized,"(256, 256, 3, 3)"
1274_DequantizeLinear,1274_dequantized,"(256,)"
1276_DequantizeLinear,1276_dequantized,"(1024, 256, 1, 1)"
1277_DequantizeLinear,1277_dequantized,"(1024,)"
1279_DequantizeLinear,1279_dequantized,"(256, 1024, 1, 1)"
1280_DequantizeLinear,1280_dequantized,"(256,)"
1282_DequantizeLinear,1282_dequantized,"(256, 256, 3, 3)"
1283_DequantizeLinear,1283_dequantized,"(256,)"
1285_DequantizeLinear,1285_dequantized,"(1024, 256, 1, 1)"
1286_DequantizeLinear,1286_dequantized,"(1024,)"
1288_DequantizeLinear,1288_dequantized,"(256, 1024, 1, 1)"
1289_DequantizeLinear,1289_dequantized,"(256,)"
1291_DequantizeLinear,1291_dequantized,"(256, 256, 3, 3)"
1292_DequantizeLinear,1292_dequantized,"(256,)"
1294_DequantizeLinear,1294_dequantized,"(1024, 256, 1, 1)"
1295_DequantizeLinear,1295_dequantized,"(1024,)"
1297_DequantizeLinear,1297_dequantized,"(256, 1024, 1, 1)"
1298_DequantizeLinear,1298_dequantized,"(256,)"
1300_DequantizeLinear,1300_dequantized,"(256, 256, 3, 3)"
1301_DequantizeLinear,1301_dequantized,"(256,)"
1303_DequantizeLinear,1303_dequantized,"(1024, 256, 1, 1)"
1304_DequantizeLinear,1304_dequantized,"(1024,)"
1315_DequantizeLinear,1315_dequantized,"(2048, 1024, 1, 1)"
1316_DequantizeLinear,1316_dequantized,"(2048,)"
1306_DequantizeLinear,1306_dequantized,"(512, 1024, 1, 1)"
1307_DequantizeLinear,1307_dequantized,"(512,)"
