Node Name,Output Tensor Name,Output Tensor Dimention,Output Tensor Size (Mb)
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
conv5_1_3x3/relu,conv5_1_3x3/relu,"(1, 512, 100, 100)",156.25
